"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/rgb_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/rgb_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/rgb_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/rgb_loss__MAX"
"0","0.2656826674938202","0.2656826674938202","0.2656826674938202","1.100142478942871","1.100142478942871","1.100142478942871","1.4720849990844727","1.4720849990844727","1.4720849990844727","0.3573484718799591","0.3573484718799591","0.3573484718799591","0.46819642186164856","0.46819642186164856","0.46819642186164856","1.7462494373321533","1.7462494373321533","1.7462494373321533","1.557112455368042","1.557112455368042","1.557112455368042","0.2895433306694031","0.2895433306694031","0.2895433306694031","0.5448405146598816","0.5448405146598816","0.5448405146598816","1.5908124446868896","1.5908124446868896","1.5908124446868896","0.5422517657279968","0.5422517657279968","0.5422517657279968","0.6734497547149658","0.6734497547149658","0.6734497547149658","0.28697478771209717","0.28697478771209717","0.28697478771209717","1.3966786861419678","1.1140897274017334","1.6792676448822021","1.243575096130371","1.243575096130371","1.243575096130371","1.110293984413147","1.110293984413147","1.110293984413147","0.5515933632850647","0.5515933632850647","0.5515933632850647","0.6569313406944275","0.6569313406944275","0.6569313406944275","0.31577035784721375","0.31577035784721375","0.31577035784721375","1.253204345703125","1.253204345703125","1.253204345703125"
"10","0.9618085622787476","0.9618085622787476","0.9618085622787476","0.44797569513320923","0.44797569513320923","0.44797569513320923","0.9905228018760681","0.9905228018760681","0.9905228018760681","0.4158208966255188","0.4158208966255188","0.4158208966255188","0.6592643857002258","0.6592643857002258","0.6592643857002258","0.7113246917724609","0.7113246917724609","0.7113246917724609","0.3030760586261749","0.3030760586261749","0.3030760586261749","0.2727457582950592","0.2727457582950592","0.2727457582950592","0.6766314506530762","0.6766314506530762","0.6766314506530762","0.4888864755630493","0.4888864755630493","0.4888864755630493","0","0","0","2.113802194595337","2.113802194595337","2.113802194595337","0.6569817066192627","0.6569817066192627","0.6569817066192627","0.35914692282676697","0","0.7182938456535339","1.1661674976348877","1.1661674976348877","1.1661674976348877","0","0","0","0.10803014039993286","0.10803014039993286","0.10803014039993286","0","0","0","0.5253923535346985","0.5253923535346985","0.5253923535346985","0.9747421741485596","0.9747421741485596","0.9747421741485596"
"20","0.1471058577299118","0.1471058577299118","0.1471058577299118","0","0","0","0.3655080199241638","0.3655080199241638","0.3655080199241638","0.2289418876171112","0.2289418876171112","0.2289418876171112","0.2829413414001465","0.2829413414001465","0.2829413414001465","0.23569324612617493","0.23569324612617493","0.23569324612617493","0.108665831387043","0.108665831387043","0.108665831387043","0.7228073477745056","0.7228073477745056","0.7228073477745056","0.15855267643928528","0.15855267643928528","0.15855267643928528","0.27641552686691284","0.27641552686691284","0.27641552686691284","0.09872610867023468","0.09872610867023468","0.09872610867023468","1.2368502616882324","1.2368502616882324","1.2368502616882324","0.05669200420379639","0.05669200420379639","0.05669200420379639","0.41825808584690094","0.3971670866012573","0.43934908509254456","0.10812363773584366","0.10812363773584366","0.10812363773584366","0.14141276478767395","0.14141276478767395","0.14141276478767395","0.4428727626800537","0.4428727626800537","0.4428727626800537","0.22399398684501648","0.22399398684501648","0.22399398684501648","0.2252228856086731","0.2252228856086731","0.2252228856086731","0.19144093990325928","0.19144093990325928","0.19144093990325928"
"30","0.07831187546253204","0.07831187546253204","0.07831187546253204","0.1710650622844696","0.1710650622844696","0.1710650622844696","0.40066415071487427","0.40066415071487427","0.40066415071487427","0.2027885764837265","0.2027885764837265","0.2027885764837265","0.06022028997540474","0.06022028997540474","0.06022028997540474","0.1226038858294487","0.1226038858294487","0.1226038858294487","0.09326869249343872","0.09326869249343872","0.09326869249343872","0.3791961669921875","0.3791961669921875","0.3791961669921875","0.07607237249612808","0.07607237249612808","0.07607237249612808","0.2169952541589737","0.2169952541589737","0.2169952541589737","0.08149495720863342","0.08149495720863342","0.08149495720863342","0.1661929339170456","0.1661929339170456","0.1661929339170456","0.1401423066854477","0.1401423066854477","0.1401423066854477","0.11460159718990326","0.10075882077217102","0.1284443736076355","0.12819281220436096","0.12819281220436096","0.12819281220436096","0.07794488221406937","0.07794488221406937","0.07794488221406937","0.10872714966535568","0.10872714966535568","0.10872714966535568","0","0","0","0.2313791811466217","0.2313791811466217","0.2313791811466217","0.08817708492279053","0.08817708492279053","0.08817708492279053"
"40","0.12912870943546295","0.12912870943546295","0.12912870943546295","0.08463530242443085","0.08463530242443085","0.08463530242443085","0","0","0","0.07114212960004807","0.07114212960004807","0.07114212960004807","0.06118438392877579","0.06118438392877579","0.06118438392877579","0.20721809566020966","0.20721809566020966","0.20721809566020966","0.13928401470184326","0.13928401470184326","0.13928401470184326","0.3001221716403961","0.3001221716403961","0.3001221716403961","0.0910213440656662","0.0910213440656662","0.0910213440656662","0.1110212504863739","0.1110212504863739","0.1110212504863739","0.05593128129839897","0.05593128129839897","0.05593128129839897","0.10652914643287659","0.10652914643287659","0.10652914643287659","0.020939212292432785","0.020939212292432785","0.020939212292432785","0.13972098380327225","0.12072151899337769","0.1587204486131668","0.1024201437830925","0.1024201437830925","0.1024201437830925","0.07328270375728607","0.07328270375728607","0.07328270375728607","0","0","0","0.06676892936229706","0.06676892936229706","0.06676892936229706","0","0","0","0.07180459052324295","0.07180459052324295","0.07180459052324295"
"50","0.06604725122451782","0.06604725122451782","0.06604725122451782","0.08635212481021881","0.08635212481021881","0.08635212481021881","0.11335515975952148","0.11335515975952148","0.11335515975952148","0.06688979268074036","0.06688979268074036","0.06688979268074036","0.05107812210917473","0.05107812210917473","0.05107812210917473","0.09847182035446167","0.09847182035446167","0.09847182035446167","0.06993724405765533","0.06993724405765533","0.06993724405765533","0.11446008086204529","0.11446008086204529","0.11446008086204529","0.04419955983757973","0.04419955983757973","0.04419955983757973","0.08752624690532684","0.08752624690532684","0.08752624690532684","0.026416368782520294","0.026416368782520294","0.026416368782520294","0.131994366645813","0.131994366645813","0.131994366645813","0.027624204754829407","0.027624204754829407","0.027624204754829407","0.2565399780869484","0.2242877334356308","0.288792222738266","0.1481272578239441","0.1481272578239441","0.1481272578239441","0.2240658402442932","0.2240658402442932","0.2240658402442932","0.07637018710374832","0.07637018710374832","0.07637018710374832","0.07756685465574265","0.07756685465574265","0.07756685465574265","0.05762440711259842","0.05762440711259842","0.05762440711259842","0.22079794108867645","0.22079794108867645","0.22079794108867645"
"60","0.013278955593705177","0.013278955593705177","0.013278955593705177","0.07447801530361176","0.07447801530361176","0.07447801530361176","0.14849989116191864","0.14849989116191864","0.14849989116191864","0.08068549633026123","0.08068549633026123","0.08068549633026123","0.034742798656225204","0.034742798656225204","0.034742798656225204","0.13694612681865692","0.13694612681865692","0.13694612681865692","0.08478269726037979","0.08478269726037979","0.08478269726037979","0.1305970847606659","0.1305970847606659","0.1305970847606659","0.556412935256958","0.556412935256958","0.556412935256958","0.0754237100481987","0.0754237100481987","0.0754237100481987","0","0","0","0.1366051733493805","0.1366051733493805","0.1366051733493805","0.07651210576295853","0.07651210576295853","0.07651210576295853","0.09010997228324413","0.04994123801589012","0.13027870655059814","0.12847955524921417","0.12847955524921417","0.12847955524921417","0.05053478479385376","0.05053478479385376","0.05053478479385376","0.10875336825847626","0.10875336825847626","0.10875336825847626","0.06982029974460602","0.06982029974460602","0.06982029974460602","0.10511436313390732","0.10511436313390732","0.10511436313390732","0.12106257677078247","0.12106257677078247","0.12106257677078247"
"70","0.3039671778678894","0.3039671778678894","0.3039671778678894","0","0","0","0.11396761238574982","0.11396761238574982","0.11396761238574982","0.18073365092277527","0.18073365092277527","0.18073365092277527","0.11209923028945923","0.11209923028945923","0.11209923028945923","0.16236963868141174","0.16236963868141174","0.16236963868141174","0.12322378158569336","0.12322378158569336","0.12322378158569336","0","0","0","0.04600124433636665","0.04600124433636665","0.04600124433636665","0.19880959391593933","0.19880959391593933","0.19880959391593933","0.12996019423007965","0.12996019423007965","0.12996019423007965","0.10038696229457855","0.10038696229457855","0.10038696229457855","0.14920340478420258","0.14920340478420258","0.14920340478420258","0.13784806430339813","0.1367357075214386","0.13896042108535767","0.03916214406490326","0.03916214406490326","0.03916214406490326","0","0","0","0.018926575779914856","0.018926575779914856","0.018926575779914856","0.06165008991956711","0.06165008991956711","0.06165008991956711","0.13156230747699738","0.13156230747699738","0.13156230747699738","0.10408833622932434","0.10408833622932434","0.10408833622932434"
"80","0.0896332710981369","0.0896332710981369","0.0896332710981369","0.0833771750330925","0.0833771750330925","0.0833771750330925","0.2639255225658417","0.2639255225658417","0.2639255225658417","0.11732076108455658","0.11732076108455658","0.11732076108455658","0.03875620290637016","0.03875620290637016","0.03875620290637016","0.08686736226081848","0.08686736226081848","0.08686736226081848","0.049668192863464355","0.049668192863464355","0.049668192863464355","0.02974671870470047","0.02974671870470047","0.02974671870470047","0.10040641576051712","0.10040641576051712","0.10040641576051712","0.04726750776171684","0.04726750776171684","0.04726750776171684","0.06582964956760406","0.06582964956760406","0.06582964956760406","0.033282577991485596","0.033282577991485596","0.033282577991485596","0.07937741279602051","0.07937741279602051","0.07937741279602051","0.07196881622076035","0.04233424365520477","0.10160338878631592","0.06296217441558838","0.06296217441558838","0.06296217441558838","0.04566187039017677","0.04566187039017677","0.04566187039017677","0.039832983165979385","0.039832983165979385","0.039832983165979385","0.08040614426136017","0.08040614426136017","0.08040614426136017","0.06118675321340561","0.06118675321340561","0.06118675321340561","0","0","0"
"90","0.0563543476164341","0.0563543476164341","0.0563543476164341","0.13701334595680237","0.13701334595680237","0.13701334595680237","0.1610063761472702","0.1610063761472702","0.1610063761472702","0.04403652995824814","0.04403652995824814","0.04403652995824814","0.05259498581290245","0.05259498581290245","0.05259498581290245","0.06610787659883499","0.06610787659883499","0.06610787659883499","0.07512083649635315","0.07512083649635315","0.07512083649635315","0.0464717373251915","0.0464717373251915","0.0464717373251915","0.024477709084749222","0.024477709084749222","0.024477709084749222","0.06180308759212494","0.06180308759212494","0.06180308759212494","0","0","0","0.09794864803552628","0.09794864803552628","0.09794864803552628","0.10352995246648788","0.10352995246648788","0.10352995246648788","0.04235287941992283","0.04178149625658989","0.04292426258325577","0.024062206968665123","0.024062206968665123","0.024062206968665123","0.04457610100507736","0.04457610100507736","0.04457610100507736","0.06836918741464615","0.06836918741464615","0.06836918741464615","0.03362283855676651","0.03362283855676651","0.03362283855676651","0","0","0","0.06259968876838684","0.06259968876838684","0.06259968876838684"
