"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/rotation_loss__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005411979276686907","0","0.010823958553373814","0","0","0","0.016973420977592468","0.016973420977592468","0.016973420977592468","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011265071108937263","0.011265071108937263","0.011265071108937263","0","0","0","0","0","0","0.024546047672629356","0.024546047672629356","0.024546047672629356","0","0","0","0.013729426078498363","0.013729426078498363","0.013729426078498363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0.007603819016367197","0.007603819016367197","0.007603819016367197","0","0","0","0","0","0","0","0","0","0","0","0","0.03488238528370857","0.03488238528370857","0.03488238528370857","0.00571166817098856","0.00571166817098856","0.00571166817098856","0","0","0","0.008684059605002403","0.008684059605002403","0.008684059605002403","0.00386430649086833","0","0.00772861298173666","0","0","0","0","0","0","0","0","0","0","0","0","0.006731831934303045","0.006731831934303045","0.006731831934303045","0","0","0"
"40","0","0","0","0","0","0","0","0","0","0.008056333288550377","0.008056333288550377","0.008056333288550377","0.004567195661365986","0.004567195661365986","0.004567195661365986","0","0","0","0.012064611539244652","0.012064611539244652","0.012064611539244652","0","0","0","0","0","0","0","0","0","0.01786227524280548","0.01786227524280548","0.01786227524280548","0","0","0","0","0","0","0","0","0","0.008277229964733124","0.008277229964733124","0.008277229964733124","0","0","0","0","0","0","0","0","0","0.0058031766675412655","0.0058031766675412655","0.0058031766675412655","0.009697789326310158","0.009697789326310158","0.009697789326310158"
"50","0","0","0","0.0048779575154185295","0.0048779575154185295","0.0048779575154185295","0","0","0","0.01538409385830164","0.01538409385830164","0.01538409385830164","0.015119481831789017","0.015119481831789017","0.015119481831789017","0","0","0","0.012296007946133614","0.012296007946133614","0.012296007946133614","0.0005966247990727425","0.0005966247990727425","0.0005966247990727425","0","0","0","0","0","0","0","0","0","0","0","0","0.002493868349120021","0.002493868349120021","0.002493868349120021","0","0","0","0.017312534153461456","0.017312534153461456","0.017312534153461456","0","0","0","0","0","0","0","0","0","0.001655519474297762","0.001655519474297762","0.001655519474297762","0","0","0"
"60","0","0","0","0","0","0","0","0","0","0","0","0","0.0016461957711726427","0.0016461957711726427","0.0016461957711726427","0","0","0","0","0","0","0","0","0","0","0","0","0.001137923332862556","0.001137923332862556","0.001137923332862556","0","0","0","0","0","0","0.0017041771207004786","0.0017041771207004786","0.0017041771207004786","0.027938535436987877","0","0.055877070873975754","0","0","0","0","0","0","0","0","0","0.011613617651164532","0.011613617651164532","0.011613617651164532","0","0","0","0.0044381082989275455","0.0044381082989275455","0.0044381082989275455"
"70","0","0","0","0.007937328889966011","0.007937328889966011","0.007937328889966011","0","0","0","0","0","0","0.010534437373280525","0.010534437373280525","0.010534437373280525","0","0","0","0","0","0","0","0","0","0.003112001810222864","0.003112001810222864","0.003112001810222864","0","0","0","0.003898195456713438","0.003898195456713438","0.003898195456713438","0.004303050227463245","0.004303050227463245","0.004303050227463245","0.008873647078871727","0.008873647078871727","0.008873647078871727","0.00376456743106246","0","0.00752913486212492","0.01208206731826067","0.01208206731826067","0.01208206731826067","0.015699725598096848","0.015699725598096848","0.015699725598096848","0.0341363251209259","0.0341363251209259","0.0341363251209259","0","0","0","0","0","0","0","0","0"
"80","0","0","0","0.008591349236667156","0.008591349236667156","0.008591349236667156","0","0","0","0.0109355878084898","0.0109355878084898","0.0109355878084898","0","0","0","0","0","0","0","0","0","0.0012445701286196709","0.0012445701286196709","0.0012445701286196709","0.004806182347238064","0.004806182347238064","0.004806182347238064","0","0","0","0.008315570652484894","0.008315570652484894","0.008315570652484894","0.006747848819941282","0.006747848819941282","0.006747848819941282","0.018466193228960037","0.018466193228960037","0.018466193228960037","0.003123484319075942","0","0.006246968638151884","0.004587133880704641","0.004587133880704641","0.004587133880704641","0","0","0","0","0","0","0","0","0","0.001792717957869172","0.001792717957869172","0.001792717957869172","0.006171620916575193","0.006171620916575193","0.006171620916575193"
"90","0.0062098391354084015","0.0062098391354084015","0.0062098391354084015","0.009796193800866604","0.009796193800866604","0.009796193800866604","0","0","0","0.0037027946673333645","0.0037027946673333645","0.0037027946673333645","0","0","0","0","0","0","0","0","0","0.009345616213977337","0.009345616213977337","0.009345616213977337","0","0","0","0","0","0","0.010081817395985126","0.010081817395985126","0.010081817395985126","0.0081076854839921","0.0081076854839921","0.0081076854839921","0.003439488587900996","0.003439488587900996","0.003439488587900996","0","0","0","0.0023829308338463306","0.0023829308338463306","0.0023829308338463306","0","0","0","0.007947035133838654","0.007947035133838654","0.007947035133838654","0","0","0","0","0","0","0.022322190925478935","0.022322190925478935","0.022322190925478935"
